date;co_gt;pt08_s1_co;nmhc_gt;c6h6_gt;pt08_s2_nmhc;nox_gt;pt08_s3_nox;no2_gt;pt08_s4_no2;pt08_s5_o3;t;rh;ah
2004-03-10 18:00:00;0.211864406779661;0.5118449389806174;0.1209813874788494;0.18553459119496857;0.36209721463681044;0.11103588354773188;0.3108852181279119;0.33534743202416917;0.48866855524079317;0.447136563876652;0.30022573363431143;0.49937106918238994;0.27507135124495624
2004-03-10 19:00:00;0.16101694915254236;0.46302943287867915;0.08883248730964467;0.14622641509433962;0.312397596941562;0.06838185511171292;0.36086404066073696;0.2719033232628399;0.4258734655335222;0.3167400881057269;0.2934537246049661;0.48427672955974854;0.2591772463340223
2004-03-10 20:00:00;0.17796610169491525;0.5419956927494616;0.06852791878172589;0.139937106918239;0.30365920262151824;0.0873392010832769;0.34646336298178737;0.338368580060423;0.42398489140698775;0.3616740088105727;0.2618510158013544;0.5635220125786164;0.2713315618541482
2004-03-10 21:00:00;0.17796610169491525;0.5233309404163676;0.06175972927241963;0.1430817610062893;0.30857454942654283;0.11509817197020987;0.3261329944938585;0.36253776435045315;0.43767705382436256;0.41850220264317184;0.24153498871331824;0.638993710691824;0.289292392481055
2004-03-10 22:00:00;0.1271186440677966;0.4486719310839914;0.03722504230118443;0.10062893081761007;0.24740578918623699;0.0873392010832769;0.373994070309191;0.34441087613293053;0.39329556185080267;0.3775330396475771;0.24604966139954848;0.6339622641509435;0.2903257553390414
2004-03-10 23:00:00;0.09322033898305083;0.3948312993539125;0.026226734348561757;0.07232704402515723;0.20043691971600217;0.058903182125930945;0.4299025836509954;0.283987915407855;0.34749763928234184;0.30660792951541854;0.24604966139954848;0.628930817610063;0.28835744513335304
2004-03-11 00:00:00;0.09322033898305083;0.38621679827709987;0.02030456852791878;0.055031446540880505;0.16766794101583835;0.04062288422477996;0.48284625158831;0.22658610271903323;0.3191690273843248;0.2114537444933921;0.24830699774266363;0.5987421383647799;0.27630154512351146
2004-03-11 01:00:00;0.07627118644067796;0.3510409188801149;0.02030456852791878;0.05031446540880503;0.15783724740578917;0.04062288422477996;0.47903430749682335;0.22356495468277945;0.3191690273843248;0.21013215859030837;0.23476297968397286;0.638993710691824;0.2811731128825903
2004-03-11 02:00:00;0.06779661016949153;0.32089016511127066;0.014382402707275803;0.03459119496855346;0.12342981977061715;0.029113067027758968;0.5324015247776366;0.17522658610271902;0.29225684608120867;0.1616740088105727;0.23476297968397286;0.6352201257861636;0.27851589410491095
2004-03-11 03:00:00;0.0423728813559322;0.2605886575735822;0.01015228426395939;0.025157232704402514;0.09721463681048606;;0.5857687420584499;;0.27289896128423036;0.10925110132158591;0.2257336343115124;0.6415094339622642;0.27206967818128136
2004-03-11 04:00:00;;0.2613065326633166;0.005922165820642978;0.01886792452830189;0.07864554888039324;0.012863913337846986;0.6336298178737823;0.09667673716012085;0.254957507082153;0.08458149779735682;0.22121896162528212;0.6452830188679246;0.2695108749138865
2004-03-11 05:00:00;0.05084745762711864;0.3007896625987079;0.0008460236886632822;0.015723270440251576;0.07045330420535226;0.00947867298578199;0.675984752223634;0.07854984894259819;0.24787535410764877;0.07444933920704846;0.24153498871331824;0.5911949685534592;0.2646393071548076
2004-03-11 06:00:00;0.05084745762711864;0.2907394113424264;0.0076142131979695426;0.02358490566037736;0.09284543965046424;0.021665538253215978;0.5997458703939009;0.13897280966767372;0.26628895184135976;0.09647577092511014;0.23024830699774262;0.6150943396226416;0.2639996063379588
2004-03-11 07:00:00;0.0847457627118644;0.35678391959798994;0.018612521150592216;0.04874213836477988;0.15510649918077554;0.06499661475964792;0.49470563320626854;0.2416918429003021;0.32200188857412654;0.21013215859030837;0.22347629796839724;0.6339622641509435;0.2671489026670603
